line_id,order_id,order_date,order_timestamp,store_id,sku,quantity,product_style,product_category,product_size,product_list_price,line_total,parent_line_id
1B0000033737,1B01023252,"2018-04-29 00:00:00","2018-04-29 10:49:03",11,11022715,-1,238955,22,10,95.00,-95.00,1B0000031448
AF0000031775,AF01021750,"2018-04-29 00:00:00","2018-04-29 13:07:34",05,11021813,-1,238806,22,11½,170.00,-170.00,0F0000072731
AF0000031776,AF01021750,"2018-04-29 00:00:00","2018-04-29 13:07:34",05,10986726,1,234090,22,12,195.00,195.00,NULL
3D0000017425,3D01013424,"2018-04-29 00:00:00","2018-04-29 13:07:52",33,11017149,1,237879,22," 9½",170.00,136.00,NULL
3D0000017426,3D01013425,"2018-04-29 00:00:00","2018-04-29 13:12:03",33,10662831,1,187466,22,11,125.00,125.00,NULL
3D0000017431,3D01013429,"2018-04-29 00:00:00","2018-04-29 13:35:08",33,11014238,1,237739,22," 8½",110.00,110.00,NULL
3D0000017432,3D01013430,"2018-04-29 00:00:00","2018-04-29 13:48:56",33,10833999,1,212268,22," 9",125.00,125.00,NULL
3D0000017434,3D01013432,"2018-04-29 00:00:00","2018-04-29 13:51:16",33,10942940,1,228007,22,11,220.00,220.00,NULL
AF0000031812,AF01021771,"2018-04-29 00:00:00","2018-04-29 13:53:15",05,10966074,1,231229,22,12,95.00,95.00,NULL
0F0000073032,0F01049856,"2018-04-29 00:00:00","2018-04-29 14:02:29",05,10986733,1,234091,22,11,195.00,195.00,NULL
2F0000004714,2F01003464,"2018-04-29 00:00:00","2018-04-29 14:18:23",25,11015326,1,237882,22," 8½",160.00,144.00,NULL
0F0000073047,0F01049863,"2018-04-29 00:00:00","2018-04-29 14:19:35",05,10972606,1,232251,22,13,160.00,144.00,NULL
3D0000017441,3D01013439,"2018-04-29 00:00:00","2018-04-29 14:58:45",33,11026757,1,239505,22," 9",158.00,158.00,NULL
AF0000031866,AF01021807,"2018-04-29 00:00:00","2018-04-29 15:06:21",05,10855563,1,215487,22," 9",195.00,195.00,NULL
AF0000031867,AF01021807,"2018-04-29 00:00:00","2018-04-29 15:06:21",05,11046836,1,242360,22," 9",90.00,90.00,NULL
