,line_id,order_id,order_date,order_timestamp,store_id,sku,quantity,product_style,product_category,product_size,product_list_price,line_total,parent_line_id,original_order_id,order_type,order_type_original
2,AF0000031776,AF01021750,2018-04-29 00:00:00,2018-04-29 13:07:34,5,10986726,1,234090,22,12,195.0,195.0,,AF01021750,1,1.0
3,3D0000017425,3D01013424,2018-04-29 00:00:00,2018-04-29 13:07:52,33,11017149,1,237879,22, 9½,170.0,136.0,,3D01013424,1,
4,3D0000017426,3D01013425,2018-04-29 00:00:00,2018-04-29 13:12:03,33,10662831,1,187466,22,11,125.0,125.0,,3D01013425,1,1.0
5,3D0000017431,3D01013429,2018-04-29 00:00:00,2018-04-29 13:35:08,33,11014238,1,237739,22, 8½,110.0,110.0,,3D01013429,1,1.0
6,3D0000017432,3D01013430,2018-04-29 00:00:00,2018-04-29 13:48:56,33,10833999,1,212268,22, 9,125.0,125.0,,3D01013430,1,1.0
7,3D0000017434,3D01013432,2018-04-29 00:00:00,2018-04-29 13:51:16,33,10942940,1,228007,22,11,220.0,220.0,,3D01013432,1,1.0
8,AF0000031812,AF01021771,2018-04-29 00:00:00,2018-04-29 13:53:15,5,10966074,1,231229,22,12,95.0,95.0,,AF01021771,1,1.0
9,0F0000073032,0F01049856,2018-04-29 00:00:00,2018-04-29 14:02:29,5,10986733,1,234091,22,11,195.0,195.0,,0F01049856,1,1.0
10,2F0000004714,2F01003464,2018-04-29 00:00:00,2018-04-29 14:18:23,25,11015326,1,237882,22, 8½,160.0,144.0,,2F01003464,1,1.0
11,0F0000073047,0F01049863,2018-04-29 00:00:00,2018-04-29 14:19:35,5,10972606,1,232251,22,13,160.0,144.0,,0F01049863,1,1.0
12,3D0000017441,3D01013439,2018-04-29 00:00:00,2018-04-29 14:58:45,33,11026757,1,239505,22, 9,158.0,158.0,,3D01013439,1,1.0
13,AF0000031866,AF01021807,2018-04-29 00:00:00,2018-04-29 15:06:21,5,10855563,1,215487,22, 9,195.0,195.0,,AF01021807,1,1.0
14,AF0000031867,AF01021807,2018-04-29 00:00:00,2018-04-29 15:06:21,5,11046836,1,242360,22, 9,90.0,90.0,,AF01021807,1,1.0
15,2F0000004732,2F01003477,2018-04-29 00:00:00,2018-04-29 15:07:47,25,10942923,1,228006,22, 9,220.0,220.0,,2F01003477,1,1.0
16,3D0000017445,3D01013442,2018-04-29 00:00:00,2018-04-29 15:20:40,33,11016411,1,238093,22, 8,55.0,55.0,,3D01013442,1,1.0
17,3D0000017446,3D01013443,2018-04-29 00:00:00,2018-04-29 15:23:13,33,11018399,1,238357,22,11,55.0,55.0,,3D01013443,1,1.0
18,3D0000017450,3D01013446,2018-04-29 00:00:00,2018-04-29 15:29:17,33,11016417,1,238093,22,11,55.0,55.0,,3D01013446,1,1.0
19,3D0000017458,3D01013450,2018-04-29 00:00:00,2018-04-29 15:47:37,33,10716845,1,195284,22, 8½,125.0,125.0,,3D01013450,1,1.0
21,AF0000031900,AF01021827,2018-04-29 00:00:00,2018-04-29 15:48:24,5,10834847,1,212399,22, 8,150.0,150.0,,AF01021827,1,1.0
